index,cpu,ram,disk,network
1,79,58,50,10
2,78,54,52,11
3,79,64,67,13
4,78,66,68,9
5,75,57,58,11
6,74,53,51,9
7,69,57,70,8
8,69,57,68,6
9,68,59,80,9
10,73,59,67,10
11,68,67,94,10
12,77,63,70,9
13,74,59,62,8
14,75,57,57,9
15,80,63,64,8
16,79,66,70,7
17,81,67,64,8
18,79,69,76,8
19,80,68,72,9
20,73,69,88,11
21,75,70,87,6
22,70,66,90,7
23,69,68,97,8
24,72,68,92,6
25,74,69,81,9
26,77,64,71,8
27,74,54,54,10
28,70,56,63,8
29,73,55,59,7
30,79,61,58,9
31,81,63,60,11
32,72,64,78,10
33,72,56,60,9
34,70,53,56,9
35,67,58,75,4
36,72,59,67,8
37,74,63,69,7
38,75,68,77,10
39,79,67,68,11
40,66,57,77,8
41,69,61,74,8
42,76,57,49,8
43,81,61,54,9
44,72,65,81,6
45,74,67,72,8
46,75,68,87,7
47,64,51,65,11
48,68,58,72,9
49,71,65,81,11
50,81,71,73,9
51,81,66,62,9
52,76,63,66,7
53,77,55,58,12
54,75,54,52,7
55,74,56,60,9
56,66,59,81,9
57,71,64,79,8
58,77,67,74,8
59,78,69,80,8
60,82,67,66,7
61,83,70,73,14
62,81,59,61,11
63,48,47,97,14
64,48,45,93,11
65,52,45,82,7
66,54,45,74,6
67,55,48,83,8
68,60,51,73,7
69,60,40,47,11
70,65,53,71,17
71,71,63,81,13
72,72,54,54,11
73,76,58,56,14
74,72,55,60,9
75,75,59,56,9
76,68,51,56,10
77,59,53,84,9
78,64,59,91,5
79,64,46,55,10
80,67,49,59,10
81,75,57,64,10
82,67,51,64,9
83,68,65,91,6
84,69,62,84,6
85,74,66,80,12
86,76,54,52,11
87,73,55,56,7
88,66,53,68,8
89,63,55,76,8
90,56,56,94,18
91,64,56,80,7
92,68,60,81,7
93,44,39,82,8
94,45,40,82,7
95,56,42,61,9
96,67,43,52,13
97,62,50,66,10
98,63,40,59,9
99,66,38,34,11
100,59,43,61,12
101,59,50,82,8
102,74,61,67,14
103,65,55,78,10
104,68,52,66,9
105,61,37,44,14
106,59,34,36,9
107,58,39,47,6
108,63,50,67,8
109,60,56,89,8
110,54,48,79,10
111,59,56,92,10
112,59,41,65,14
113,56,36,44,10
114,64,34,40,13
115,55,23,34,13
116,67,39,40,16
117,70,52,54,11
118,76,58,59,16
119,75,63,71,16
120,75,62,69,13
121,64,57,80,8
122,73,60,66,15
123,63,55,85,14
124,39,7,29,10
